libelle,ght_code,ght_officiel
AP-HP,AP-HP,AP-HP
CGFL Dijon,ght-BFC-03,GHT 21-52 côte d’or-haute-marne
CH4V,ght-IDF-07,GHT Hauts-de-seine
CHU Amiens,ght-HF-14,GHT Somme littoral sud
CHU Besançon,ght-BFC-07,GHT Centre franche-comté
CHU Bordeaux,ght-NA-06,GHT Alliance de gironde
CHU Brest,ght-BRE-01,GHT Bretagne occidentale
CHU Dijon,ght-BFC-03,GHT 21-52 côte d’or-haute-marne
CHU Nantes,ght-PDL-01,GHT Loire atlantique
CHU Tours,ght-CVL-03,GHT Touraine val de loire
FOCH,ght-IDF-07,GHT Hauts-de-seine
GHT Alpes du Sud,ght-PACA-06,GHT Alpes du sud
GHT Est Hérault Sud Aveyron,ght-OCC-04,GHT Est hérault et sud aveyron
GHT Landes,ght-NA-07,GHT Landes
GHT Loiret,ght-CVL-05,GHT Loiret
GHT Océan-Indien,ght-OI-01,GHT Ocean indien
GHT Rhone-Nord,ght-ARA-12,GHT Rhône nord beaujolais dombes
GHT Val-Rhone,ght-ARA-13,GHT Val rhône  santé
GHT Var-Est,ght-PACA-02,GHT Var
GHT Var-Ouest,ght-PACA-02,GHT Var
GHT Vendee,ght-PDL-05,GHT Vendée
GHT13,ght-PACA-04,GHT Bouches-du-rhône
HCL,ght-ARA-10,GHT Rhône centre
